path,guid,author,name,version,new_name,size
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] k3hair v1.0.0.zipmod,ls.hair.k3,lszc,k3hair,1.0.0,[lszc] k3hair v1.0.0.zipmod,7.49
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] LLYY v1.0.0.zipmod,com.LLYY @LSZC qq887387353,lszc,LLYY,1.0.0,[lszc] LLYY v1.0.0.zipmod,11.76
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] mxzc v1.0.0.zipmod,ls.cloth.mxzc,lszc,mxzc,1.0.0,[lszc] mxzc v1.0.0.zipmod,0.00
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] PPumps v0.0.1.zipmod,ls.shoes.PPumps,lszc,PPumps,0.0.1,[lszc] PPumps v0.0.1.zipmod,54.87
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] pyxl v1.0.0.zipmod,ls.Acc.pyxl,lszc,pyxl,1.0.0,[lszc] pyxl v1.0.0.zipmod,10.02
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] qgcj v1.0.0.zipmod,ls.cloth.qgcj,lszc,qgcj,1.0.0,[lszc] qgcj v1.0.0.zipmod,0.00
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] qgcjhair v1.0.0.zipmod,ls.hair.qgcj,lszc,qgcjhair,1.0.0,[lszc] qgcjhair v1.0.0.zipmod,0.00
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] tgjx v1.0.0.zipmod,ls.cloth.tgjx,lszc,tgjx,1.0.0,[lszc] tgjx v1.0.0.zipmod,11.91
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] Twintaillhair v1.0.0.zipmod,ls.hair.Twintaill,lszc,Twintaillhair,1.0.0,[lszc] Twintaillhair v1.0.0.zipmod,31.37
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] wxyyacc v1.0.0.zipmod,ls.acc.wxyy,lszc,wxyyacc,1.0.0,[lszc] wxyyacc v1.0.0.zipmod,2.60
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] yrys v1.0.0.zipmod,ls.cloth.yrys,lszc,yrys,1.0.0,[lszc] yrys v1.0.0.zipmod,21.34
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] yryshair v1.0.0.zipmod,ls.hair.yrys,lszc,yryshair,1.0.0,[lszc] yryshair v1.0.0.zipmod,10.16
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] zd v1.0.0.zipmod,ls.cloth.zd,lszc,zd,1.0.0,[lszc] zd v1.0.0.zipmod,20.57
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] zdhair v1.0.0.zipmod,ls.hair.zd,lszc,zdhair,1.0.0,[lszc] zdhair v1.0.0.zipmod,0.97
/mnt/e/Games/HS2/mods/MyMods/lszc/[lszc] zdwp v1.0.0.zipmod,ls.Acc.zdwp,lszc,zdwp,1.0.0,[lszc] zdwp v1.0.0.zipmod,3.35
/mnt/e/Games/HS2/mods/MyMods/luoli/[luoli] nengdai v1.0.zipmod,luoli.nengdai,luoli,nengdai,1.0,[luoli] nengdai v1.0.zipmod,32.36
/mnt/e/Games/HS2/mods/MyMods/lvlvbubu/[lvlvbubu] Carol_Peper_Studio v1.0.0.zipmod,lvlvbubu_Carol_Peper_studio,lvlvbubu,Carol_Peper_Studio,1.0.0,[lvlvbubu] Carol_Peper_Studio v1.0.0.zipmod,1.40
/mnt/e/Games/HS2/mods/MyMods/mac/[mac] [mac]jiansantz v1.0.0.zipmod,mac.Studio.[mac]jiansantz,mac,[mac]jiansantz,1.0.0,[mac] [mac]jiansantz v1.0.0.zipmod,30.05
/mnt/e/Games/HS2/mods/MyMods/malachi/[malachi] [Mac]bmlqz v1.0.zipmod,[Mac]bmlqz,malachi,[Mac]bmlqz,1.0,[malachi] [Mac]bmlqz v1.0.zipmod,41.61
/mnt/e/Games/HS2/mods/MyMods/malachi/[malachi] [Mac]bmlst v1.0.zipmod,[Mac]bmlst,malachi,[Mac]bmlst,1.0,[malachi] [Mac]bmlst v1.0.zipmod,35.36
/mnt/e/Games/HS2/mods/MyMods/malachi/[malachi] [Mac]gyykz v1.0.zipmod,[Mac]gyykz,malachi,[Mac]gyykz,1.0,[malachi] [Mac]gyykz v1.0.zipmod,51.69
/mnt/e/Games/HS2/mods/MyMods/malachi/[malachi] [Mac]gyynk v1.0.zipmod,[Mac]gyynk,malachi,[Mac]gyynk,1.0,[malachi] [Mac]gyynk v1.0.zipmod,66.96
/mnt/e/Games/HS2/mods/MyMods/malachi/[malachi] [Mac]gyyst v1.0.zipmod,[Mac]gyyst,malachi,[Mac]gyyst,1.0,[malachi] [Mac]gyyst v1.0.zipmod,47.28
/mnt/e/Games/HS2/mods/MyMods/malachi/[malachi] [Mac]ssqkz v1.0.zipmod,[Mac]ssqkz,malachi,[Mac]ssqkz,1.0,[malachi] [Mac]ssqkz v1.0.zipmod,15.12
/mnt/e/Games/HS2/mods/MyMods/malachi/[malachi] [Mac]ssqnk v1.0.zipmod,[Mac]ssqnk,malachi,[Mac]ssqnk,1.0,[malachi] [Mac]ssqnk v1.0.zipmod,15.12
/mnt/e/Games/HS2/mods/MyMods/malachi/[malachi] [Mac]ywykz v1.0.zipmod,[Mac]ywykz,malachi,[Mac]ywykz,1.0,[malachi] [Mac]ywykz v1.0.zipmod,15.21
/mnt/e/Games/HS2/mods/MyMods/malachi/[malachi] [Mac]ywyqz v1.0.zipmod,[Mac]ywyqz,malachi,[Mac]ywyqz,1.0,[malachi] [Mac]ywyqz v1.0.zipmod,14.98
/mnt/e/Games/HS2/mods/MyMods/malachi/[malachi] [Mac]ywyst v1.0.zipmod,[Mac]ywyst,malachi,[Mac]ywyst,1.0,[malachi] [Mac]ywyst v1.0.zipmod,15.18
/mnt/e/Games/HS2/mods/MyMods/malachi/[malachi] [Mac]ywywq v1.0.zipmod,[Mac]ywywq,malachi,[Mac]ywywq,1.0,[malachi] [Mac]ywywq v1.0.zipmod,15.18
/mnt/e/Games/HS2/mods/MyMods/malachi/[malachi] [TuBge.Malchi]fwshkz v1.0.zipmod,[TuBge.Malchi]fwshkz,malachi,[TuBge.Malchi]fwshkz,1.0,[malachi] [TuBge.Malchi]fwshkz v1.0.zipmod,26.41
/mnt/e/Games/HS2/mods/MyMods/malachi/[malachi] [TuBge.Malchi]fwshnk v1.0.zipmod,[TuBge.Malchi]fwshnk,malachi,[TuBge.Malchi]fwshnk,1.0,[malachi] [TuBge.Malchi]fwshnk v1.0.zipmod,34.30
/mnt/e/Games/HS2/mods/MyMods/maruku7788/[maruku7788] Wrestling Shoes Male v1.0.zipmod,HS2WrestlingShoesMale,gdc,HS2WrestlingShoesMale,1.0.0,[gdc] HS2WrestlingShoesMale v1.0.0.zipmod,33.95
/mnt/e/Games/HS2/mods/MyMods/mcm82/[mcm82] Rowena FF14 outfit v1.zipmod,MCM_Rowena_Outfit,mcm82,Rowena FF14 outfit,1,[mcm82] Rowena FF14 outfit v1.zipmod,9.20
